user_id,signup_date,plan_type,acquisition_channel,country
448,2023-02-10,Pro,Referral,Canada
449,2024-01-02,Basic,Organic,USA
450,2023-08-04,Basic,Paid Ads,India
451,2024-11-29,Pro,Paid Ads,India
452,2023-09-13,Pro,Organic,USA
453,2024-11-13,Basic,Paid Ads,USA
454,2023-04-16,Premium,Organic,USA
455,2023-12-29,Basic,Referral,UK
456,2024-07-27,Basic,Organic,USA
457,2024-02-21,Basic,Paid Ads,Canada
458,2024-09-27,Basic,Organic,UK
459,2023-06-08,Basic,Referral,USA
460,2023-08-31,Basic,Organic,Canada
461,2023-06-16,Basic,Referral,USA
462,2023-07-01,Pro,Referral,USA
463,2024-02-27,Pro,Organic,UK
464,2023-01-26,Pro,Referral,Canada
465,2023-07-03,Premium,Referral,India
466,2023-12-07,Basic,Organic,USA
467,2024-02-26,Basic,Organic,UK
468,2024-11-16,Premium,Paid Ads,Canada
469,2023-09-12,Basic,Organic,USA
470,2023-10-01,Premium,Organic,India
471,2023-06-13,Basic,Organic,Canada
472,2024-12-19,Premium,Organic,Canada
473,2023-04-21,Basic,Organic,UK
474,2024-01-27,Premium,Organic,USA
475,2023-02-09,Pro,Referral,USA
476,2024-04-26,Premium,Paid Ads,Canada
477,2023-08-16,Basic,Organic,USA
478,2023-07-24,Pro,Paid Ads,Canada
479,2024-04-16,Premium,Paid Ads,India
480,2023-12-25,Pro,Referral,UK
481,2023-11-09,Pro,Organic,USA
482,2023-08-22,Pro,Organic,USA
483,2023-08-17,Basic,Referral,UK
484,2023-01-25,Pro,Referral,India
485,2024-11-06,Pro,Paid Ads,India
486,2023-07-17,Premium,Paid Ads,India
487,2024-02-13,Basic,Organic,India
488,2023-12-03,Basic,Paid Ads,India
489,2023-10-13,Premium,Organic,Canada
490,2023-03-13,Premium,Organic,USA
491,2023-10-13,Basic,Referral,USA
492,2023-12-26,Pro,Organic,USA
493,2024-10-18,Basic,Paid Ads,Canada
494,2024-06-05,Basic,Referral,UK
495,2024-02-14,Basic,Organic,India
496,2024-11-26,Basic,Referral,UK
497,2024-07-03,Pro,Referral,India
498,2023-12-06,Basic,Paid Ads,India
499,2023-01-29,Premium,Organic,UK
500,2023-04-29,Premium,Organic,USA
501,2023-09-25,Pro,Organic,Canada
502,2023-07-02,Pro,Organic,UK
503,2024-08-17,Basic,Organic,USA
504,2023-09-29,Pro,Referral,India
505,2023-02-09,Pro,Organic,USA
506,2023-04-22,Basic,Paid Ads,India
507,2024-09-02,Premium,Organic,India
508,2024-03-20,Pro,Paid Ads,USA
509,2023-12-20,Premium,Referral,India
510,2023-11-18,Pro,Organic,Canada
511,2024-03-22,Pro,Organic,USA
512,2024-09-12,Basic,Paid Ads,UK
513,2024-06-07,Premium,Paid Ads,India
514,2023-04-29,Premium,Paid Ads,India
515,2024-01-30,Basic,Organic,Canada
516,2024-08-13,Basic,Organic,Canada
517,2023-07-14,Basic,Referral,UK
518,2023-09-18,Pro,Referral,India
519,2023-02-15,Premium,Paid Ads,UK
520,2024-12-26,Basic,Referral,UK
521,2024-03-22,Pro,Paid Ads,India
522,2023-01-02,Basic,Organic,UK
523,2024-06-16,Premium,Organic,UK
524,2024-07-05,Pro,Organic,Canada
525,2024-12-04,Pro,Paid Ads,Canada
526,2024-11-17,Basic,Organic,UK
527,2023-07-21,Basic,Organic,India
528,2024-01-08,Basic,Paid Ads,Canada
529,2024-03-17,Basic,Paid Ads,UK
530,2023-03-13,Premium,Paid Ads,USA
531,2024-11-11,Pro,Referral,USA
532,2023-12-05,Premium,Organic,UK
533,2024-09-30,Premium,Paid Ads,USA
534,2023-11-18,Pro,Paid Ads,Canada
535,2024-11-10,Pro,Paid Ads,India
536,2023-05-08,Premium,Organic,UK
537,2023-11-04,Pro,Organic,Canada
538,2024-06-03,Basic,Referral,India
539,2023-11-13,Basic,Paid Ads,USA
540,2024-11-13,Basic,Referral,USA
541,2024-02-23,Premium,Paid Ads,USA
542,2023-12-01,Pro,Paid Ads,USA
543,2024-02-17,Basic,Referral,Canada
544,2024-12-14,Pro,Paid Ads,Canada
545,2023-10-30,Pro,Organic,India
546,2024-07-21,Basic,Paid Ads,UK
547,2023-05-11,Basic,Referral,India
548,2023-07-16,Pro,Organic,UK
549,2024-03-06,Pro,Organic,USA
550,2024-11-11,Pro,Organic,USA
551,2024-01-24,Pro,Referral,USA
552,2024-11-24,Premium,Organic,USA
553,2023-06-28,Pro,Paid Ads,Canada
554,2024-09-22,Pro,Organic,India
555,2024-08-05,Premium,Organic,UK
556,2023-11-05,Basic,Paid Ads,UK
557,2024-02-20,Basic,Organic,Canada
558,2024-07-15,Basic,Paid Ads,USA
559,2023-01-01,Pro,Paid Ads,India
560,2023-11-08,Pro,Referral,USA
561,2023-10-21,Pro,Organic,Canada
562,2023-08-04,Basic,Referral,UK
563,2024-03-16,Basic,Paid Ads,Canada
564,2024-08-16,Basic,Referral,UK
565,2024-09-13,Basic,Paid Ads,India
566,2024-11-01,Pro,Paid Ads,UK
567,2023-11-26,Basic,Referral,India
568,2024-04-21,Basic,Referral,USA
569,2024-03-28,Premium,Organic,USA
570,2024-03-28,Basic,Organic,Canada
571,2024-11-22,Pro,Organic,India
572,2023-08-07,Pro,Organic,USA
573,2024-06-07,Basic,Organic,India
574,2024-04-29,Pro,Organic,USA
575,2023-06-23,Premium,Referral,USA
576,2024-11-05,Premium,Organic,UK
577,2023-03-28,Basic,Paid Ads,Canada
578,2023-10-18,Premium,Organic,UK
579,2024-06-11,Basic,Organic,India
580,2024-11-10,Basic,Organic,USA
581,2024-10-10,Basic,Organic,Canada
582,2024-09-26,Premium,Paid Ads,USA
583,2023-12-10,Basic,Referral,USA
584,2023-04-06,Basic,Organic,UK
585,2023-08-29,Pro,Paid Ads,India
586,2024-11-19,Basic,Paid Ads,Canada
587,2023-11-14,Basic,Referral,Canada
588,2023-08-19,Basic,Paid Ads,Canada
589,2023-07-23,Basic,Paid Ads,India
590,2023-05-31,Basic,Paid Ads,Canada
591,2023-01-26,Basic,Referral,India
592,2023-02-17,Pro,Organic,Canada
593,2023-09-08,Basic,Organic,USA
594,2024-05-01,Basic,Referral,India
595,2024-09-17,Premium,Paid Ads,UK
596,2023-03-16,Basic,Paid Ads,Canada
597,2024-04-11,Pro,Paid Ads,UK
598,2024-02-29,Basic,Organic,India
599,2024-10-06,Basic,Paid Ads,USA
600,2024-08-12,Basic,Paid Ads,UK
601,2023-07-19,Basic,Organic,UK
602,2024-12-14,Basic,Paid Ads,USA
603,2024-01-29,Basic,Referral,USA
604,2024-05-21,Basic,Organic,India
605,2024-02-14,Basic,Paid Ads,Canada
606,2023-09-07,Basic,Organic,UK
607,2023-06-01,Basic,Paid Ads,UK
608,2024-11-02,Basic,Organic,India
609,2024-12-05,Pro,Paid Ads,Canada
610,2023-01-06,Pro,Referral,India
611,2023-04-20,Basic,Organic,UK
612,2024-03-11,Pro,Referral,UK
613,2023-08-13,Pro,Referral,USA
614,2023-06-30,Basic,Organic,USA
615,2024-12-13,Premium,Organic,Canada
616,2024-06-14,Premium,Referral,UK
617,2024-04-20,Basic,Referral,UK
618,2023-02-21,Basic,Organic,USA
619,2024-07-24,Pro,Organic,India
620,2023-09-13,Pro,Organic,India
621,2023-05-05,Basic,Referral,UK
622,2024-04-12,Basic,Organic,UK
623,2023-05-17,Basic,Paid Ads,Canada
624,2024-04-20,Basic,Referral,Canada
625,2024-11-14,Pro,Organic,USA
626,2024-06-27,Basic,Paid Ads,UK
627,2024-07-26,Basic,Organic,India
628,2024-09-01,Pro,Referral,Canada
629,2023-11-21,Basic,Organic,USA
630,2024-03-29,Basic,Paid Ads,USA
631,2024-09-19,Pro,Paid Ads,India
632,2024-05-31,Premium,Organic,Canada
633,2024-03-12,Pro,Organic,India
634,2024-07-15,Pro,Organic,USA
635,2024-04-01,Basic,Organic,UK
636,2023-06-12,Basic,Referral,India
637,2024-05-01,Pro,Referral,USA
638,2024-04-05,Basic,Paid Ads,UK
639,2023-09-23,Basic,Paid Ads,UK
640,2023-09-11,Basic,Paid Ads,Canada
641,2024-10-14,Basic,Referral,Canada
642,2023-10-11,Basic,Organic,USA
643,2024-06-17,Basic,Organic,India
644,2024-05-11,Basic,Organic,UK
645,2024-10-03,Basic,Paid Ads,Canada
646,2023-09-02,Premium,Organic,Canada
647,2023-10-09,Pro,Organic,India
648,2024-03-26,Pro,Organic,Canada
649,2023-03-21,Pro,Paid Ads,USA
650,2024-12-31,Basic,Organic,India
651,2023-10-20,Basic,Organic,UK
652,2023-08-29,Pro,Organic,USA
653,2023-10-06,Pro,Organic,UK
654,2023-12-10,Pro,Paid Ads,UK
655,2023-11-24,Basic,Organic,Canada
656,2024-07-07,Basic,Organic,USA
657,2023-03-24,Basic,Paid Ads,USA
658,2023-05-22,Basic,Organic,India
659,2023-06-04,Pro,Organic,USA
660,2023-08-25,Pro,Referral,India
661,2024-01-28,Basic,Organic,USA
662,2024-12-11,Premium,Organic,UK
663,2023-06-06,Pro,Organic,India
664,2024-12-24,Basic,Paid Ads,USA
