user_id,avg_weekly_logins,feature_usage_score,support_tickets_last_30d,last_active_date
87,3,67,0,2025-06-12
88,2,69,1,2024-05-03
89,3,77,2,2024-09-22
90,1,52,1,2024-04-23
91,4,62,1,2023-11-09
92,5,76,1,2024-10-17
93,3,69,2,2025-06-22
94,3,48,3,2025-03-26
95,1,65,1,2025-05-15
96,2,20,1,2025-06-16
97,2,60,0,2024-10-06
98,6,47,0,2023-11-06
99,5,90,0,2026-01-08
100,4,40,1,2024-10-15
101,6,62,3,2023-10-29
102,4,51,0,2024-12-10
103,1,48,0,2023-11-16
104,6,67,2,2024-11-26
105,2,51,0,2025-06-23
106,2,97,0,2023-12-15
107,3,20,1,2023-07-23
108,5,72,0,2023-10-27
109,3,58,0,2026-03-06
110,3,58,2,2024-06-16
111,1,66,1,2024-02-13
112,2,79,3,2024-12-31
113,3,65,1,2025-11-03
114,1,80,2,2025-08-20
115,1,60,0,2025-03-17
116,4,39,2,2024-07-25
117,2,58,1,2024-02-21
118,4,83,1,2025-01-26
119,4,51,0,2024-05-20
120,1,38,1,2024-12-12
121,3,72,2,2025-03-18
122,3,66,0,2025-07-03
123,1,44,1,2024-06-18
124,3,55,1,2025-01-10
125,2,56,1,2025-03-12
126,5,60,3,2025-05-10
127,5,72,0,2024-06-22
128,6,51,0,2024-10-04
129,3,73,1,2024-11-07
130,2,49,2,2024-01-11
131,1,93,4,2025-07-24
132,2,93,0,2025-01-30
133,1,42,2,2023-07-18
134,3,35,2,2024-07-14
135,4,79,2,2024-09-30
136,4,65,3,2023-08-30
137,1,71,0,2026-01-23
138,1,46,1,2023-12-08
139,5,57,0,2025-08-05
140,3,53,2,2025-07-16
141,0,66,2,2025-04-02
142,8,35,1,2024-05-06
143,2,58,1,2025-03-17
144,5,34,1,2024-07-13
145,3,49,1,2026-01-13
146,2,58,0,2024-12-08
147,7,70,1,2025-07-27
148,0,71,3,2024-07-17
149,3,75,0,2025-03-14
150,4,30,0,2024-01-20
151,4,85,1,2025-05-06
152,4,47,3,2023-06-29
153,8,48,1,2025-02-28
154,4,65,0,2025-05-16
155,2,53,2,2024-03-18
156,1,67,0,2025-03-10
157,2,70,0,2025-05-04
158,0,44,0,2024-09-05
159,4,56,1,2025-01-28
160,3,56,1,2024-10-12
161,1,79,1,2024-06-26
162,3,50,1,2024-12-20
163,6,49,2,2023-12-02
164,4,39,1,2024-04-04
165,1,41,1,2024-12-17
166,1,32,1,2025-02-17
167,3,45,0,2025-02-23
168,3,91,0,2023-08-15
169,7,73,2,2025-12-27
170,5,85,1,2025-05-19
171,7,40,0,2026-03-30
172,3,21,1,2025-02-09
173,2,66,4,2026-02-11
174,4,97,3,2024-12-07
175,2,50,1,2024-04-16
176,6,62,1,2024-03-02
177,3,28,2,2024-09-25
178,1,60,1,2025-04-14
179,2,57,1,2025-04-06
180,6,18,1,2024-01-01
181,4,39,0,2025-12-23
182,3,37,0,2024-08-11
183,4,28,1,2024-11-13
184,3,45,1,2023-02-24
185,4,70,1,2024-07-25
186,2,47,0,2024-03-22
187,7,82,1,2024-01-21
188,3,52,1,2025-01-26
189,4,66,1,2024-08-28
190,6,69,0,2023-11-07
191,4,90,0,2025-11-11
192,2,45,2,2024-10-15
193,6,68,1,2024-06-04
194,2,41,0,2025-10-14
195,3,94,0,2023-07-20
196,2,39,1,2025-11-04
197,4,67,1,2024-10-27
198,6,91,0,2024-02-12
199,2,36,3,2025-03-01
200,2,71,1,2024-06-12
201,6,40,3,2025-10-05
202,2,100,1,2024-02-27
203,1,22,0,2024-03-12
204,6,29,1,2025-07-26
205,4,37,2,2025-08-11
206,4,38,0,2024-12-08
207,2,70,1,2023-12-05
208,1,95,1,2024-08-21
209,4,83,5,2026-05-12
210,5,64,1,2024-07-01
211,5,60,4,2025-07-14
212,2,47,1,2025-03-30
213,2,67,0,2024-04-07
214,3,55,2,2026-03-28
215,7,63,2,2026-03-15
216,3,45,0,2024-07-07
217,5,35,2,2025-06-12
218,4,60,2,2025-01-18
219,2,60,2,2025-05-21
220,0,48,0,2024-09-20
221,4,44,0,2023-10-12
222,0,71,1,2023-11-29
223,1,69,1,2024-05-04
224,1,97,0,2024-12-17
225,6,87,1,2024-08-17
226,2,36,0,2024-10-27
227,7,56,1,2025-06-19
228,4,32,2,2024-12-02
229,6,23,0,2025-06-27
230,5,100,2,2025-03-21
231,1,89,2,2023-09-07
232,4,47,0,2023-07-04
233,3,84,0,2026-01-02
234,5,87,3,2025-01-02
235,1,21,3,2024-09-09
236,3,77,3,2024-09-28
237,5,50,2,2023-06-01
238,3,67,0,2023-06-25
239,0,100,1,2025-01-30
240,2,91,1,2024-04-21
241,2,57,0,2025-10-29
242,3,88,2,2023-11-11
243,4,21,0,2024-11-20
244,4,70,1,2025-12-26
245,3,70,0,2024-12-07
246,0,74,5,2023-11-14
247,2,49,3,2025-03-02
248,2,67,0,2023-11-03
249,9,77,1,2025-08-14
250,3,13,1,2025-05-14
251,5,53,2,2025-12-02
252,3,41,1,2024-01-30
253,4,73,0,2025-09-30
254,2,87,0,2024-10-22
255,0,47,0,2024-03-30
256,1,38,2,2024-03-30
257,0,62,0,2024-05-05
258,2,36,0,2025-09-04
259,5,55,0,2025-09-13
260,3,53,0,2025-04-05
261,3,71,0,2025-01-16
262,2,66,2,2024-05-20
263,1,63,2,2024-07-26
264,3,92,1,2024-04-11
265,2,65,1,2025-12-08
266,2,51,1,2026-03-08
267,3,54,1,2026-04-03
268,1,44,2,2024-10-05
269,0,39,2,2024-09-23
270,3,32,3,2024-07-21
271,3,82,1,2025-05-08
272,5,45,2,2024-11-16
273,2,66,0,2025-04-09
274,3,54,0,2024-06-09
275,3,59,1,2024-11-17
276,2,83,1,2025-08-13
277,6,63,2,2024-07-10
278,5,41,0,2024-01-01
279,3,48,0,2025-07-19
280,1,77,2,2023-11-03
281,3,69,0,2024-02-02
282,4,78,1,2025-06-22
283,2,55,1,2024-04-13
284,2,32,0,2024-02-07
285,3,70,2,2024-07-15
286,2,65,0,2024-12-05
287,1,65,3,2023-10-26
288,1,32,2,2023-12-30
289,3,47,0,2025-03-22
290,3,41,2,2025-01-04
291,3,67,0,2024-07-07
292,0,68,2,2023-10-07
293,4,59,1,2024-04-26
294,3,79,0,2025-01-03
295,5,89,2,2024-04-14
296,8,67,1,2025-04-07
297,3,73,1,2025-08-06
298,2,49,2,2025-03-13
299,5,45,3,2024-07-29
300,3,80,0,2024-07-29
301,0,42,2,2024-07-07
302,4,73,0,2025-04-28
303,1,94,1,2024-05-01
304,1,73,0,2024-03-26
305,2,58,0,2024-08-22
306,1,33,1,2024-11-19
307,3,63,1,2024-01-22
308,5,80,3,2024-04-30
309,4,56,2,2025-09-07
310,3,80,0,2026-02-05
311,3,67,0,2025-11-16
312,4,65,0,2025-08-07
313,3,53,2,2024-06-23
314,3,30,1,2024-07-12
315,2,51,1,2025-04-10
316,3,51,0,2025-03-05
317,4,71,0,2024-10-12
318,2,59,1,2025-12-14
319,8,81,2,2025-11-19
320,2,65,1,2024-02-08
321,1,49,1,2024-05-01
322,8,43,2,2024-02-06
323,2,47,3,2023-09-14
324,3,63,2,2025-06-13
325,1,52,1,2025-01-20
326,3,38,2,2025-11-05
327,6,80,0,2025-08-11
328,3,63,0,2024-05-01
329,2,65,1,2023-05-17
330,2,43,1,2024-12-02
331,2,39,1,2024-04-18
332,4,56,1,2024-05-26
333,3,19,2,2024-07-20
334,1,75,0,2025-03-20
335,5,45,0,2023-09-21
336,2,54,1,2026-06-23
337,3,68,0,2024-07-16
338,3,55,1,2024-09-21
339,5,36,0,2023-11-28
340,4,90,0,2025-02-09
341,6,29,1,2024-03-23
342,4,15,1,2025-05-15
343,1,77,1,2025-01-27
344,4,30,0,2023-04-23
345,2,85,3,2025-09-15
346,2,67,4,2023-08-31
347,5,65,0,2025-06-29
348,2,48,2,2025-08-27
349,2,43,2,2025-10-02
350,1,52,1,2025-03-07
351,4,42,0,2025-02-14
352,2,84,0,2024-01-24
353,4,45,3,2024-09-13
354,0,70,0,2024-08-14
355,3,80,3,2025-05-16
356,6,42,2,2025-01-02
357,3,67,2,2025-01-03
358,1,42,0,2025-05-03
359,4,56,1,2024-08-24
360,0,50,0,2024-12-11
361,2,46,3,2025-10-22
362,4,63,0,2025-03-25
363,1,35,0,2023-12-29
364,3,78,1,2025-07-01
365,5,38,0,2025-05-14
366,2,34,0,2023-09-10
367,1,54,1,2024-05-23
368,5,52,1,2025-04-06
369,1,67,2,2025-04-05
370,2,61,0,2024-09-02
371,2,27,0,2024-11-22
372,2,79,0,2024-09-16
373,2,54,2,2025-07-08
374,1,64,2,2024-07-04
375,2,100,0,2025-10-30
376,3,85,2,2024-08-20
377,3,64,2,2023-11-12
378,0,32,1,2025-04-19
379,5,32,2,2024-03-22
380,7,83,1,2024-01-31
381,3,51,1,2025-06-17
382,1,56,0,2023-12-29
383,3,37,0,2023-11-30
384,1,68,2,2025-11-08
385,3,82,2,2024-12-06
386,3,90,2,2025-12-01
387,1,51,1,2023-12-31
388,5,72,1,2025-12-03
389,4,58,0,2025-07-13
390,0,77,1,2025-10-24
391,3,59,1,2024-02-08
392,1,43,1,2025-03-18
393,11,86,1,2025-07-20
394,0,61,0,2024-01-28
395,4,52,1,2025-06-27
396,3,63,1,2024-11-06
397,3,45,0,2024-01-30
398,0,68,1,2024-08-07
399,1,56,0,2023-12-15
400,4,44,1,2023-06-12
401,7,100,0,2024-11-12
402,1,39,0,2025-01-10
403,0,67,2,2025-02-03
404,2,61,0,2024-02-12
405,4,39,2,2026-03-19
406,2,53,2,2024-10-10
407,3,33,1,2024-08-03
408,3,100,0,2025-01-10
409,1,54,0,2025-11-24
410,3,56,2,2026-04-17
411,2,98,1,2023-12-24
412,4,43,2,2025-07-05
413,4,85,0,2025-07-26
414,2,71,2,2024-03-14
415,1,20,2,2024-06-03
416,3,52,0,2024-05-17
417,2,68,2,2025-12-10
418,5,60,0,2025-04-24
419,3,60,0,2023-11-22
420,3,47,0,2024-01-02
421,7,45,1,2024-01-22
422,4,53,1,2024-12-31
423,2,99,2,2024-04-23
424,4,41,1,2026-02-12
425,3,50,2,2024-01-23
426,3,60,1,2024-02-20
427,6,30,1,2025-07-25
428,2,68,1,2025-10-16
429,0,34,0,2026-04-20
430,3,38,1,2025-02-01
431,3,37,0,2025-02-10
432,1,27,3,2024-04-18
433,3,85,1,2024-07-22
434,0,70,2,2023-09-07
435,2,78,1,2025-04-05
436,4,76,1,2023-11-26
437,6,56,0,2025-03-11
438,3,59,0,2024-01-12
439,3,80,1,2025-06-13
440,0,92,0,2026-03-09
441,7,34,1,2025-07-27
442,3,100,3,2023-09-06
443,4,33,0,2025-05-04
444,5,50,4,2023-09-08
445,2,61,2,2023-03-20
446,0,63,1,2025-02-03
447,1,99,0,2024-11-13
448,1,80,0,2024-05-09
449,2,68,0,2024-07-29
450,2,80,1,2025-03-25
451,3,66,0,2026-04-16
452,2,46,2,2024-03-01
453,3,69,0,2025-07-05
454,3,61,0,2023-11-22
455,6,43,1,2025-02-21
456,4,85,1,2025-06-18
457,4,58,0,2025-10-10
458,1,37,1,2026-03-13
459,0,40,1,2023-08-20
460,4,70,0,2024-08-04
461,2,80,1,2024-05-22
462,7,69,1,2024-12-17
463,3,69,1,2025-07-15
464,1,43,2,2023-10-12
465,1,61,0,2023-08-29
466,4,53,3,2024-01-08
467,3,56,1,2024-08-31
468,4,57,0,2025-09-10
469,3,46,1,2024-08-14
470,2,75,1,2025-02-25
471,0,39,1,2023-11-17
472,1,34,0,2025-11-08
473,3,44,0,2024-07-21
474,3,77,1,2024-08-27
475,3,66,0,2024-07-26
476,1,24,0,2025-01-31
477,6,71,1,2023-10-14
478,2,59,0,2023-12-23
479,2,51,1,2025-02-23
480,5,55,1,2025-06-11
481,4,33,1,2024-02-15
482,4,63,2,2024-09-25
483,2,34,0,2025-01-20
484,8,52,1,2024-05-15
485,5,53,4,2025-08-27
486,5,75,3,2024-12-15
487,7,60,2,2024-07-14
488,2,74,1,2025-01-18
489,2,36,2,2025-04-19
490,3,57,2,2023-04-29
491,6,70,1,2024-08-03
492,2,84,3,2024-07-09
493,6,37,2,2025-01-15
494,6,43,1,2024-12-01
495,4,70,1,2025-02-05
496,5,92,1,2026-04-12
497,4,65,0,2024-12-18
498,2,37,0,2025-01-04
499,2,38,1,2023-08-14
500,6,62,0,2023-07-22
501,5,67,0,2024-07-30
502,2,55,2,2024-08-04
503,2,38,1,2025-11-19
504,4,82,2,2024-10-27
505,3,53,2,2023-04-29
506,3,70,1,2024-03-13
507,6,24,1,2025-07-27
508,3,84,0,2025-10-13
509,4,46,1,2024-04-06
510,4,86,1,2025-05-27
511,4,72,1,2024-11-05
512,4,31,3,2025-04-17
513,5,64,1,2024-10-11
514,0,93,1,2023-11-16
515,3,48,1,2025-09-07
516,1,93,1,2025-08-08
517,3,67,1,2024-07-01
518,10,86,1,2024-08-21
519,3,63,0,2023-12-19
520,3,57,4,2026-01-31
521,2,96,1,2024-07-28
522,2,74,1,2024-08-01
523,1,55,2,2025-07-11
524,4,68,2,2024-12-29
525,4,48,0,2025-01-16
526,5,62,1,2025-05-06
527,6,83,1,2025-01-31
528,2,56,0,2024-11-21
529,2,42,0,2025-05-02
530,2,40,1,2024-08-20
531,2,61,0,2026-02-05
532,1,43,0,2024-12-17
533,2,31,0,2025-04-14
534,4,36,1,2024-03-31
535,4,83,1,2025-07-21
536,3,57,1,2023-11-12
537,2,61,3,2025-05-02
538,2,40,1,2025-02-14
539,2,48,0,2024-06-22
540,1,47,0,2026-06-04
541,2,54,2,2025-09-19
542,3,26,1,2025-07-17
543,2,81,0,2024-07-12
544,3,59,1,2026-03-16
545,5,64,2,2025-03-14
546,5,78,0,2024-11-06
547,1,76,1,2023-10-07
548,3,48,1,2023-12-27
549,6,72,0,2024-04-22
550,3,71,1,2026-04-16
551,3,66,3,2025-02-13
552,1,81,1,2025-11-08
553,2,75,0,2024-08-02
554,0,74,1,2025-03-13
555,2,87,1,2025-11-30
556,4,60,2,2025-05-23
557,5,61,2,2025-03-06
558,6,76,2,2025-02-06
559,6,56,1,2023-12-08
560,6,69,0,2024-01-06
561,3,48,0,2024-03-20
562,3,14,1,2024-04-17
563,5,71,1,2024-08-24
564,2,29,0,2025-02-07
565,4,46,0,2025-06-02
566,4,76,1,2025-10-11
567,4,76,2,2024-05-02
568,5,83,1,2024-12-21
569,4,19,1,2024-09-07
570,6,65,1,2024-07-16
571,3,54,1,2026-03-02
572,0,79,2,2023-12-29
573,2,89,1,2024-09-24
574,5,33,1,2024-06-17
575,1,60,2,2024-11-29
576,2,76,0,2026-02-19
577,7,53,0,2023-06-09
578,2,94,1,2024-06-05
579,5,51,3,2024-10-29
580,4,53,0,2025-01-12
581,2,38,0,2026-04-18
582,2,63,1,2024-12-25
583,1,0,4,2025-05-03
584,0,55,1,2023-09-04
585,2,85,0,2024-06-13
586,3,32,1,2025-02-01
587,3,27,1,2024-02-19
588,2,82,0,2024-07-22
589,3,85,3,2023-09-01
590,2,32,2,2023-10-06
591,5,94,1,2023-07-01
592,2,68,3,2023-10-15
593,3,80,3,2024-04-29
594,1,44,1,2024-12-06
595,4,89,0,2025-10-11
596,0,54,0,2023-05-14
597,1,53,1,2024-08-11
598,6,69,1,2024-08-26
599,3,52,4,2025-08-16
600,4,29,0,2025-09-02
601,5,62,1,2024-08-12
602,8,53,1,2025-06-26
603,7,44,2,2025-07-24
604,3,84,2,2025-02-22
605,3,100,1,2025-08-14
606,1,41,1,2023-12-15
607,7,63,0,2023-10-10
608,8,52,4,2024-12-16
609,1,100,1,2026-06-29
610,5,69,2,2023-09-15
611,3,78,1,2023-12-02
612,5,83,1,2025-01-23
613,2,62,1,2024-03-05
614,3,56,0,2025-01-30
615,4,90,0,2025-01-16
616,6,75,0,2024-10-23
617,1,43,1,2024-12-25
618,7,45,1,2024-08-20
619,3,52,2,2025-12-22
620,4,83,0,2024-10-22
621,6,89,0,2023-12-10
622,2,100,1,2025-08-05
623,0,45,1,2023-10-03
624,1,62,0,2024-11-21
625,4,51,1,2025-12-12
626,3,56,2,2025-08-19
627,3,78,1,2025-11-02
628,4,59,0,2025-05-08
629,5,86,0,2025-05-30
630,1,49,0,2024-12-17
631,7,74,1,2025-12-10
632,6,51,1,2024-10-23
633,2,23,0,2025-02-26
634,3,39,2,2024-12-18
635,4,62,1,2025-08-21
636,1,98,1,2023-11-01
637,4,50,2,2025-11-14
638,7,56,0,2024-09-21
639,1,69,2,2025-03-13
640,3,48,1,2024-10-14
641,1,50,1,2025-09-04
642,4,61,1,2025-06-02
643,4,51,0,2024-08-27
644,2,24,0,2024-09-02
645,6,46,2,2025-10-03
646,3,72,1,2025-02-18
647,4,72,2,2024-03-05
648,2,86,1,2025-05-24
649,5,85,0,2024-02-04
650,3,41,0,2026-05-12
651,4,45,3,2024-10-03
652,3,45,1,2024-12-25
653,3,56,1,2024-06-23
654,6,47,2,2025-07-29
655,1,56,0,2025-02-13
656,4,42,0,2025-05-30
657,1,75,0,2024-07-04
658,1,41,1,2023-12-31
659,4,40,0,2023-09-13
660,3,70,2,2025-01-23
661,1,74,0,2025-03-09
662,2,55,1,2025-07-12
663,2,77,1,2023-07-19
664,2,75,1,2026-06-10
665,3,97,1,2023-12-23
666,4,74,1,2024-05-15
667,7,94,1,2025-06-21
668,2,61,1,2025-09-09
669,7,87,1,2024-03-31
670,0,88,0,2024-12-08
671,3,57,1,2024-10-15
672,6,46,0,2025-05-09
673,2,49,3,2024-05-18
674,1,68,1,2023-12-12
675,2,37,1,2024-09-24
676,6,50,2,2024-05-09
677,3,83,2,2025-09-27
678,2,73,0,2025-08-03
679,6,12,1,2024-02-01
680,3,33,0,2025-04-04
681,1,100,2,2025-04-12
682,3,83,1,2024-10-05
683,4,48,2,2023-10-02
684,5,30,0,2025-04-04
685,5,35,3,2025-04-26
686,1,70,3,2024-12-15
687,2,99,0,2025-01-08
688,7,98,1,2025-09-17
689,3,28,1,2025-08-11
690,3,54,2,2026-02-08
691,2,42,3,2024-10-31
692,2,62,1,2025-10-22
693,2,33,0,2025-02-16
694,4,49,2,2024-08-17
695,6,42,3,2024-09-18
696,10,70,1,2025-09-19
697,3,49,0,2023-06-19
698,3,52,0,2024-07-07
699,2,70,0,2024-09-22
700,2,92,2,2026-04-30
701,6,100,0,2026-05-19
702,1,69,0,2024-11-11
703,4,58,1,2023-12-03
704,6,86,0,2024-06-22
705,2,83,2,2023-09-19
706,3,77,0,2024-12-22
707,1,28,2,2024-10-07
708,5,84,1,2024-07-21
709,1,67,1,2024-04-05
710,3,42,1,2025-03-30
711,3,46,1,2025-09-25
712,4,71,0,2025-11-08
713,2,9,6,2023-08-02
714,2,57,0,2024-03-01
715,4,46,0,2025-02-25
716,0,44,2,2024-06-30
717,3,50,3,2024-12-01
718,3,30,1,2025-10-03
719,7,81,1,2024-11-24
720,3,17,0,2023-10-15
721,2,63,0,2024-08-19
722,2,43,2,2025-07-16
723,1,99,0,2025-05-17
724,1,60,2,2025-02-01
725,3,17,0,2025-02-01
726,2,70,3,2025-07-08
727,3,38,3,2024-12-27
728,6,79,2,2025-08-29
729,2,72,0,2025-05-23
730,3,89,2,2024-04-24
731,2,63,1,2023-11-17
732,3,76,2,2024-07-07
733,1,60,0,2024-09-24
734,1,48,2,2024-03-17
735,1,81,1,2025-11-08
736,1,35,1,2024-02-10
737,3,59,0,2025-02-12
738,6,48,0,2024-12-13
739,5,76,1,2026-03-11
740,3,41,0,2023-05-17
741,3,51,0,2024-12-31
742,4,60,3,2023-09-10
743,2,89,2,2024-09-23
744,3,49,2,2024-08-16
745,5,51,0,2024-02-07
746,6,33,0,2024-07-07
747,1,40,3,2026-01-12
748,4,68,0,2023-11-20
749,3,60,0,2024-08-16
750,4,60,1,2024-07-11
751,2,94,1,2025-10-10
752,5,26,0,2025-04-07
753,1,100,0,2024-10-11
754,4,83,1,2026-03-20
755,5,53,0,2025-03-16
756,1,67,0,2025-09-14
757,1,46,0,2026-05-18
758,4,66,0,2024-03-28
759,1,100,1,2025-07-14
760,4,47,0,2023-09-16
761,3,55,1,2025-11-16
762,4,44,0,2025-07-09
763,5,48,1,2024-10-15
764,4,51,0,2024-08-06
765,3,38,0,2024-12-10
766,5,54,0,2024-03-07
767,6,61,1,2025-08-08
768,4,51,2,2023-04-29
769,2,14,1,2024-01-13
770,1,56,0,2024-10-27
771,1,59,0,2025-05-04
772,1,97,1,2025-02-28
773,2,60,0,2025-03-04
774,2,78,1,2023-09-18
775,3,51,0,2024-04-01
776,5,85,0,2025-10-22
777,4,41,0,2025-04-16
778,2,70,0,2026-01-15
779,4,76,1,2024-09-23
780,3,73,0,2024-05-14
781,1,100,0,2026-03-10
782,2,48,1,2024-11-28
783,1,88,0,2025-02-26
784,3,83,1,2025-06-13
785,4,60,2,2024-02-11
786,7,96,0,2025-04-29
787,4,57,0,2024-01-27
788,2,60,0,2024-04-16
789,2,59,0,2024-10-04
790,3,34,1,2025-02-19
791,3,75,4,2025-04-04
792,1,72,1,2025-01-24
793,3,57,2,2023-10-01
794,3,95,1,2024-07-22
795,3,51,1,2026-05-29
796,3,25,0,2024-12-13
797,3,98,1,2023-03-22
798,5,80,1,2025-07-20
799,3,72,1,2025-08-21
800,2,53,0,2024-10-27
801,4,66,1,2025-06-23
802,3,34,2,2024-11-04
803,1,55,1,2024-12-01
804,1,41,0,2025-09-07
805,4,65,2,2025-02-15
806,3,78,2,2024-05-25
807,2,39,0,2025-05-11
808,5,74,0,2024-09-01
809,7,63,3,2025-06-13
810,1,73,1,2025-03-07
811,4,55,1,2025-03-17
812,2,74,0,2025-02-01
813,3,46,0,2025-03-02
814,2,26,2,2025-05-19
815,0,30,3,2025-10-11
816,3,49,0,2025-09-17
817,4,27,1,2025-09-10
818,0,91,0,2024-04-19
819,0,58,1,2024-10-28
820,1,78,2,2024-10-15
821,3,75,2,2024-07-18
822,1,60,1,2024-06-05
823,2,100,0,2025-09-26
824,5,100,0,2023-12-23
825,3,87,2,2025-11-19
826,5,41,0,2025-04-12
827,3,88,2,2025-08-06
828,5,25,1,2025-09-12
829,4,87,0,2024-04-11
830,7,8,1,2024-11-09
831,2,53,0,2024-04-15
832,4,84,0,2025-02-06
833,2,67,0,2024-04-01
834,3,30,2,2023-11-10
835,2,63,0,2025-05-23
836,1,67,2,2024-06-10
837,8,64,1,2024-04-06
838,2,51,0,2025-04-17
839,1,77,0,2025-05-14
840,5,82,1,2025-01-23
841,3,56,3,2025-05-04
842,1,90,2,2026-01-08
843,1,56,1,2024-01-26
844,3,50,0,2025-06-27
845,5,87,0,2024-07-10
846,1,86,1,2025-05-16
847,1,47,0,2024-10-30
848,4,44,2,2024-10-31
849,5,95,2,2024-08-20
850,5,57,1,2024-10-12
851,6,60,0,2025-08-12
852,4,54,1,2025-10-06
853,0,86,3,2024-06-17
854,2,100,0,2026-06-18
855,3,61,0,2025-09-08
856,5,100,1,2026-06-05
857,1,48,2,2025-07-31
858,4,54,0,2024-07-05
859,3,73,0,2025-10-13
860,3,43,1,2023-08-27
861,7,73,0,2024-09-28
862,5,49,1,2024-07-03
863,1,29,0,2025-01-04
864,3,25,0,2024-12-19
865,5,53,2,2026-07-07
866,5,68,0,2024-12-24
867,6,32,2,2024-02-09
868,2,63,3,2026-05-28
869,4,63,0,2025-04-10
870,6,56,1,2025-02-19
871,1,41,1,2025-09-14
872,1,64,1,2025-01-17
873,1,57,2,2025-03-30
874,3,79,0,2024-06-20
875,4,34,0,2025-02-11
876,2,62,1,2025-11-04
877,2,34,0,2025-02-27
878,3,55,0,2024-12-17
879,5,38,1,2025-03-25
880,5,41,0,2024-12-03
881,2,59,2,2024-12-30
882,5,48,1,2024-09-08
883,1,89,1,2024-08-03
884,1,83,1,2024-03-06
885,4,76,2,2024-02-20
886,3,75,0,2024-04-13
887,4,62,3,2025-02-07
888,4,86,0,2024-02-01
889,5,54,2,2024-11-25
890,0,100,1,2025-06-08
891,6,41,0,2024-02-20
892,3,37,0,2023-09-12
893,4,32,0,2024-05-17
894,1,35,1,2025-04-22
895,1,27,2,2025-02-27
896,3,64,2,2026-02-04
897,6,77,1,2025-10-10
898,6,60,2,2025-12-09
899,2,32,1,2023-12-23
900,7,50,1,2023-12-05
901,1,76,2,2024-01-27
902,2,53,1,2024-09-04
903,4,44,2,2024-02-06
904,3,29,1,2024-03-04
905,7,51,3,2024-04-22
906,2,45,2,2024-09-15
907,1,58,2,2024-08-30
908,1,69,0,2025-07-24
909,6,54,1,2024-09-11
910,1,63,1,2024-10-18
911,1,69,0,2023-11-27
912,1,35,1,2023-05-13
913,3,97,1,2023-06-20
914,4,45,1,2025-07-06
915,2,70,0,2024-09-26
916,3,37,1,2025-03-20
917,4,62,1,2024-07-29
918,3,62,0,2025-11-21
919,3,93,1,2024-09-16
920,2,55,0,2024-06-25
921,3,85,2,2023-07-05
922,4,65,0,2025-05-08
923,3,97,1,2024-03-11
924,3,24,2,2025-10-19
925,2,69,0,2024-10-05
926,4,6,1,2025-10-12
927,4,58,1,2025-07-04
928,2,80,1,2024-04-20
